sector,language,question,answer
passport,om,Paaspoortii gaafachuuf sanadoonni maalii barbaachisu?,"Fooramii iyyataa guutuu, ID mootummaa ykn ragaa dhalootaa, suuraa paaspoortii dhiyeenyaan kaafame, fi ragaa kaffaltii dhiyeessuun barbaachisa. (DEMO)"
passport,om,Paaspoortii eessa irratti iyyachuu danda’a?,"Waajjira Imigireeshinii mootummaa keessaa isa guddaa ykn waajjira paaspoortii naannoo/ulaagaaleen itti ramadaman irratti iyyachuu ni dandeessa. (DEMO)"
passport,om,Paaspoortii baasuun gatii hangamii qaba?,"Gatiin isaa gosa paaspoortii fi saffisa tajaajilaa irratti hundaa’a; tarree kaffaltii mootummaa irraa mirkaneessi. (DEMO)"
passport,om,Paaspoortii argachuuf yeroo hangamii fudhata?,"Tajaajilli idile torbanoota hedduu fudhachuu danda’a; tajaajilli ariifachiisaa immoo yeroo gabaabaa keessatti xumurama. (DEMO)"
passport,om,Onlaayinii irratti paaspoortii iyyachuu danda’a?,"Tarkaanfii muraasni onlaayinii ta’uu danda’a; garuu baayomeetirii (fingerprint/suuraa) kennuuf qaamaan argamuu barbaachisa. (DEMO)"
passport,om,Paaspoortiin waggaa meeqaaf tajaajila?,"Yeroon hojii isaa yeroo baay’ee waggaa 5 ykn 10 ta’uu danda’a; irratti iyyattee akkaataa ramaddii irratti hundaa’a. (DEMO)"
passport,om,Paaspoortii xumurame (expire) akkamitti haaromsa?,"Paaspoortii duraanii, fooramii haaromsaa, suuraa, fi ragaa kaffaltii waliin dhiyeessi. (DEMO)"
passport,om,Paaspoortii xumuruun dura haaromsuun ni danda’amaa?,"Eeyyee; yeroo murtaa’e dura haaromsiin ni eeyyamama. (DEMO)"
passport,om,Paaspoortiin yoo na bade maal godha?,"Battalumatti gabaasa poolisii godhi, booda ragaa gabaasaa waliin bakka bu’iinsa (replacement) iyyadhu. (DEMO)"
passport,om,Paaspoortiin yoo miidhame maal godha?,"Paaspoortii miidhame sana, ibsa gabaabaa (letter) fi sanadoota barbaachisan waliin dhiyeessuun bakka bu’iinsa iyyadhu. (DEMO)"
passport,om,Daa’imni paaspoortii iyyachuu ni danda’a?,"Eeyyee; garuu eeyyama maatii (warraa/abbaa fi haadha) fi sanadoota daa’imaaf barbaachisan qabaachuu qaba. (DEMO)"
passport,om,Daa’imaaf paaspoortii iyyachuuf sanadoonni maalii?,"Ragaa dhalootaa, ID warraa, xalayaa eeyyamaa, suuraa, fi ragaa kaffaltii barbaachisa. (DEMO)"
passport,om,Daa’imaaf paaspoortii irratti abbaa fi haati lamaan argamuu qabu?,"Yeroo baay’ee eeyyee; yoo hin danda’amne sanada seeraa (murtii mana murtii/fkn) dhiyeessuu danda’ama. (DEMO)"
passport,om,Abbaa seeraa/abbaa guddisaa daa’ima bakka bu’ee iyyachuu ni danda’a?,"Eeyyee; sanada mootummaa irraa mirkaneessa abbaa guddisummaa/guardianship qabaachuun ni danda’ama. (DEMO)"
passport,om,Baayomeetirii (biometric) jechuun maalidha?,"Mallattoolee eenyummaa kan akka farra barmoo (fingerprint), suuraa dijitaalaa, fi mallattoo (signature) galmeessuu dha. (DEMO)"
passport,om,Baayomeetirii kennuun dirqamaa?,"Eeyyee; paaspoortii baasuuf baayomeetirii galmeessuun yeroo baay’ee dirqama. (DEMO)"
passport,om,Jaarsa/jaartiin baayomeetirii osoo hin kennin ni tajaajilama?,"Haala fayyaa ykn umrii irratti hundaa’uun qajeelfamni addaa jiraachuu danda’a; waajjira irraa mirkaneessi. (DEMO)"
passport,om,Suuraan paaspoortii akkam ta’uu qaba?,"Suuraa haaraa, duubbee adii, ifa walfakkaataa, fuula ifatti mul’atu, fi seera suuraa kan guutu ta’uu qaba. (DEMO)"
passport,om,Suuraa paaspoortii irratti kolfachuun ni eeyyamama?,"Yeroo baay’ee hin eeyyamamu; fuula tasgabbaa’aa (neutral expression) barbaadu. (DEMO)"
passport,om,Iyyanni koo yoo didame maal ta’a?,"Sababni ni ibsama; maal akka sirreessu fi akkamitti deebitee iyyattu si qajeelchu. (DEMO)"
passport,om,Haala iyyata paaspoortii koo hordofuu ni danda’a?,"Eeyyee; lakkoofsa ragaalee (reference number) fayyadamuun haala isaa ilaalu ni dandeessa. (DEMO)"
passport,om,Tajaajilli ariifachiisaa paaspoortii maalidha?,"Tajaajila yeroo gabaabduu keessatti xumuramu; yeroo baay’ee kaffaltii dabalataa qaba. (DEMO)"
passport,om,Eenyyutu tajaajila ariifachiisaa argachuu danda’a?,"Namni dhimma daandii/imaltoota ariifachiisaa qabu ragaa dhiyeesseen ni argata. (DEMO)"
passport,om,Maqaa paaspoortii irratti jijjiiruun ni danda’amaa?,"Eeyyee; ragaa seeraa akka murtii mana murtii ykn ragaa fuudha/heerumaatiin ni danda’ama. (DEMO)"
passport,om,Dogoggora paaspoortii irratti argame akkamitti sirreessa?,"Dogoggora agarsiisu sanadoota ragaa waliin iyyata sirreeffamaa (correction) dhiyeessi. (DEMO)"
passport,om,Dogoggora mootummaa irraa ta’e yoo ta’e kaffaltiin jiraa?,"Yeroo muraasa dogoggora waajjiraa ta’e keessatti kaffaltiin malee sirreessuun ni danda’ama. (DEMO)"
passport,om,Paaspoortiin koo yeroon isaa dhiyaate yoo ta’e imaluun ni danda’amaa?,"Biyya hedduun ji’a 6 ol yeroo hojii (validity) akka hafu barbaadu; dura mirkaneessi. (DEMO)"
passport,om,Ala jiruun paaspoortiin koo yoo xumure maal godha?,"Embassy/consulate dhihoo qunnami; qajeelfama isaanii hordofi. (DEMO)"
passport,om,Paaspoortii lama qabachuun ni danda’amaa?,"Haala seeraa murtaa’e keessatti qofa ni danda’ama; qajeelfama biyya keetii ilaali. (DEMO)"
passport,om,Paaspoortiin machine-readable jechuun maalidha?,"Paaspoortii odeeffannoo koodiin (scanner) dubbifamu qabu jechuudha. (DEMO)"
passport,om,E-passport jechuun maalidha?,"Paaspoortii ‘chip’ baayomeetirii keessa qabu; nageenya guddisuuf. (DEMO)"
passport,om,E-passport dirqamaa moo?,"Biyya/waajjira irratti hundaa’uun gara-gara; yeroo baay’ee immoo gara tarsiimoo haaraa ta’aa jira. (DEMO)"
