sector,language,question,answer
passport,am,ፓስፖርት ለማውጣት ምን ዓይነት ሰነዶች ያስፈልጋሉ?,"የተሞላ ማመልከቻ፣ መታወቂያ/የትውልድ ማረጋገጫ፣ የቅርብ ጊዜ ፎቶ፣ እና የክፍያ ደረሰኝ ይያዙ። (DEMO)"
passport,am,ፓስፖርት የት ላይ መጠየቅ ይቻላል?,"በዋና የኢሚግሬሽን ቢሮ ወይም በተመዘገቡ የክልል ፓስፖርት አገልግሎት ቢሮዎች መጠየቅ ይቻላል። (DEMO)"
passport,am,የፓስፖርት ክፍያ ስንት ነው?,"ክፍያው እንደ አገልግሎት ፍጥነትና የፓስፖርት አይነት ይለያያል፤ ኦፊሴላዊ የክፍያ መረጃን ይመልከቱ። (DEMO)"
passport,am,ፓስፖርት ለመውጣት ስንት ጊዜ ይወስዳል?,"መደበኛ ሂደት ብዙ ሳምንታት ሊወስድ ይችላል፤ ፈጣን አገልግሎት ግን በተጨማሪ ክፍያ እንዲቀጥን ይችላል። (DEMO)"
passport,am,ፓስፖርት በመስመር ላይ መጠየቅ ይቻላል?,"አንዳንድ ደረጃዎች ኦንላይን ሊሰሩ ይችላሉ፣ ነገር ግን ለባዮሜትሪክ መመዝገብ በአካል መገኘት ያስፈልጋል። (DEMO)"
passport,am,ፓስፖርት ለስንት ዓመት ይሠራል?,"የትክክለኛ ጊዜ ቆይታ እንደ አመልካቹ ምድብ 5 ወይም 10 ዓመት ሊሆን ይችላል። (DEMO)"
passport,am,የጊዜው ያለፈ ፓስፖርት እንዴት እታደሳለሁ?,"የቀድሞ ፓስፖርት፣ የማሻሻያ ማመልከቻ፣ ፎቶዎች እና የክፍያ ደረሰኝ በማቅረብ መታደስ ይቻላል። (DEMO)"
passport,am,ፓስፖርትን ከመጨረሻ ቀኑ በፊት መታደስ እችላለሁ?,"አዎ፣ ከመያዣ ጊዜው በፊት በተወሰነ ወቅት ውስጥ ቀድሞ መታደስ ይፈቀዳል። (DEMO)"
passport,am,ፓስፖርት ቢጠፋ ምን ማድረግ አለብኝ?,"ወዲያውኑ ለፖሊስ ሪፖርት አድርጉ እና ከሪፖርቱ ጋር የመተካት ማመልከቻ ያቅርቡ። (DEMO)"
passport,am,ፓስፖርት ቢበላሽ ምን ይደረጋል?,"የተበላሸውን ፓስፖርት ከማብራሪያ ደብዳቤ ጋር በማቅረብ መተካት ይቻላል። (DEMO)"
passport,am,ህፃናት ፓስፖርት መውጣት ይችላሉ?,"አዎ፣ ለአነስተኛ ዕድሜ የወላጅ/አሳዳጊ ፈቃድ እና የህጋዊ ማረጋገጫ ሰነዶች ያስፈልጋሉ። (DEMO)"
passport,am,ለህፃን ፓስፖርት ምን ሰነዶች ያስፈልጋሉ?,"የትውልድ ማረጋገጫ፣ የወላጆች መታወቂያ፣ የፈቃድ ደብዳቤ እና ፎቶ ይጠየቃሉ። (DEMO)"
passport,am,ለህፃን ፓስፖርት ሁለቱም ወላጆች መገኘት ያስፈልጋል?,"ብዙ ጊዜ አዎ፤ ካልተቻለ ግን የህግ ማረጋገጫ (ለምሳሌ የፍርድ ቤት ውሳኔ) ሊጠየቅ ይችላል። (DEMO)"
passport,am,አሳዳጊ በህፃን ስም መጠየቅ ይችላል?,"አዎ፣ የአሳዳጊነት ህጋዊ ሰነድ ካለ መመልከት ይቻላል። (DEMO)"
passport,am,ባዮሜትሪክ ምዝገባ ምንድነው?,"የጣት አሻራ፣ ፎቶ እና ፊርማ ያሉ የመለያ መረጃዎችን በቢሮ ላይ መመዝገብ ነው። (DEMO)"
passport,am,ባዮሜትሪክ መመዝገብ ግዴታ ነው?,"አዎ፣ ብዙ አገልግሎቶች ለመስጠት የባዮሜትሪክ መረጃ መመዝገብ ያስፈልጋል። (DEMO)"
passport,am,አረጋውያን ባዮሜትሪክ ሳይሰጡ መውጣት ይቻላል?,"በዕድሜ ወይም በጤና ሁኔታ መሰረት ልዩ መተግበሪያ ሊኖር ይችላል፤ ቢሮውን ይጠይቁ። (DEMO)"
passport,am,ለፓስፖርት የሚያስፈልገው ፎቶ እንዴት መሆን አለበት?,"ነጭ ጀርባ፣ ግልጽ ፊት፣ የቅርብ ጊዜ ፎቶ እና መመሪያዎችን የሚከተል መሆን አለበት። (DEMO)"
passport,am,በፓስፖርት ፎቶ ላይ ፈገግታ ማድረግ ይፈቀዳል?,"ብዙ ጊዜ አይፈቀድም፤ አስተዳደራዊ ምርመራ ስለሚያስፈልግ ነጻ/መደበኛ ፊት ተጠያቂ ነው። (DEMO)"
passport,am,ማመልከቻዬ ቢቀርብ እና ቢታቀቅ ምን ይሆናል?,"ምክንያቱ ይገለጻል እና ምን መስተካከል እንዳለብዎ መመሪያ ይሰጥዎታል። (DEMO)"
passport,am,የፓስፖርት ማመልከቻ ሁኔታ መከታተል እችላለሁ?,"አዎ፣ በማመልከቻ መመዝገቢያ ቁጥር/ሪፈረንስ ሁኔታውን ማየት ይቻላል። (DEMO)"
passport,am,ፈጣን የፓስፖርት አገልግሎት ምንድነው?,"በተጨማሪ ክፍያ የማስፈጸሚያ ጊዜን የሚቀንስ አማራጭ አገልግሎት ነው። (DEMO)"
passport,am,ፈጣን አገልግሎት ለማግኘት ማን ይችላል?,"በአስቸኳይ ጉዞ ምክንያት ያለው ሰው ማስረጃ ካቀረበ ሊያገኝ ይችላል። (DEMO)"
passport,am,በፓስፖርት ላይ ስሜን መቀየር እችላለሁ?,"አዎ፣ የፍርድ ቤት ውሳኔ ወይም የጋብቻ ማረጋገጫ ያሉ ህጋዊ ሰነዶች ካሉ ይቻላል። (DEMO)"
passport,am,በፓስፖርት ላይ ስህተት ካለ እንዴት እጠግናለሁ?,"ስህተቱን የሚያሳይ ማስረጃ ሰነዶች በማቅረብ የማስተካከያ ሂደት መጀመር ይቻላል። (DEMO)"
passport,am,ስህተቱ ከቢሮ ከሆነ ክፍያ ይኖራል?,"አንዳንድ ጊዜ የቢሮ ስህተት ከሆነ ክፍያ ሳይኖር ሊታረም ይችላል። (DEMO)"
passport,am,ፓስፖርት ሊያልቅ ከሆነ መጓዝ እችላለሁ?,"ብዙ አገሮች ቢያንስ 6 ወር የቀረ ትክክለኛነት ይጠይቃሉ፤ ቅድሚያ ያረጋግጡ። (DEMO)"
passport,am,ከአገር ውጭ ሳለሁ ፓስፖርቴ ቢያልቅ ምን አድርጋለሁ?,"ቅርብ ያለ ኤምባሲ/ኮንሱላት ያነጋግሩ እና የሚሰጠውን መመሪያ ይከተሉ። (DEMO)"
passport,am,ሁለት ፓስፖርት መያዝ ይቻላል?,"በህግ ስር በተወሰኑ ሁኔታዎች ብቻ ሊፈቀድ ይችላል፤ የአገሩን መመሪያ ይመልከቱ። (DEMO)"
passport,am,ማሽን-ሪዳብል (Machine-readable) ፓስፖርት ምንድነው?,"በስካነር ሊነበብ የሚችል የኮድ መረጃ ያለበት ፓስፖርት ነው። (DEMO)"
passport,am,ኢ-ፓስፖርት (e-Passport) ምንድነው?,"የባዮሜትሪክ መረጃ የያዘ ቺፕ ያለበት ኤሌክትሮኒክ ፓስፖርት ነው። (DEMO)"
passport,am,ኢ-ፓስፖርት መውጣት ግዴታ ነው?,"እየተለመደ ቢሆንም አገልግሎቱ እና አይነቱ እንደ አገር/ቢሮ ሊለያይ ይችላል። (DEMO)"
passport,am,ከአገር ውጭ ሆኜ ፓስፖርት መውጣት እችላለሁ?,"አዎ፣ በኤምባሲ/ኮንሱላት በኩል ማመልከት ይቻላል። (DEMO)"
passport,am,ከውጭ አገር ፓስፖርት ማውጣት ስንት ጊዜ ይወስዳል?,"ብዙ ጊዜ ከውስጥ አገር አገልግሎት ይልቅ ሊዘገይ ይችላል። (DEMO)"
passport,am,የፓስፖርት ክፍያ እንዴት ይከፈላል?,"በባንክ ዲፖዚት ወይም በተፈቀዱ የክፍያ ቻናሎች መክፈል ይቻላል። (DEMO)"
passport,am,የፓስፖርት ክፍያ መመለስ ይቻላል?,"ብዙ ጊዜ የፓስፖርት ክፍያ አይመለስም። (DEMO)"
passport,am,ጊዜያዊ የጉዞ ሰነድ ምንድነው?,"ፓስፖርት ሲጠፋ/ሲያገለግል በአስቸኳይ ጉዞ ለማድረግ የሚሰጥ ሰነድ ነው። (DEMO)"
passport,am,ጊዜያዊ የጉዞ ሰነድ ማን ሊያገኝ ይችላል?,"የአስቸኳይ ጉዞ ምክንያት ያለው ዜጋ ማስረጃ ካቀረበ ሊቀበል ይችላል። (DEMO)"
passport,am,በፓስፖርት ላይ አድራሻዬን ማዘመን ያስፈልጋል?,"ብዙ ጊዜ አድራሻ መቀየር የፓስፖርት መተካት አያስፈልግም፣ ግን መመሪያ ይጠይቁ። (DEMO)"
passport,am,ፓስፖርት ለማመልከት ቀጠሮ ያስፈልጋል?,"እንደ ቢሮው ብዛት ቀጠሮ ማስያዝ ሊያስፈልግ ይችላል። (DEMO)"
passport,am,የፓስፖርት ቀጠሮ እንዴት እያዝ?,"በመስመር ላይ ወይም በቢሮ በቀጥታ መቀጠር ይቻላል። (DEMO)"
passport,am,ቀጠሮዬ በደረሰ ቀን ምን አመጣ?,"የመጀመሪያ ሰነዶች፣ ኮፒዎች፣ ፎቶ፣ እና የክፍያ ደረሰኝ ይያዙ። (DEMO)"
passport,am,ሌላ ሰው በስሜ ፓስፖርት ሊወስድ ይችላል?,"በአንዳንድ ሁኔታ በህጋዊ ውክልና/ፈቃድ ይፈቀዳል። (DEMO)"
passport,am,ፓስፖርቴ ዝግጁ ሲሆን እንዴት እለቃለሁ?,"በSMS/ኢሜይል ማሳወቂያ ወይም በሪፈረንስ ቁጥር ሁኔታ በመመልከት መረዳት ይቻላል። (DEMO)"
passport,am,ቀጠሮዬን ካመለስኩ ምን ይሆናል?,"እንደ ፖሊሲ ዳግም ማስያዝ/ማቀጠር ሊኖር ይችላል። (DEMO)"
passport,am,እርጉዝ ሴቶች ቅድሚያ አገልግሎት ያገኛሉ?,"በጤና ሁኔታ መሰረት ልዩ ድጋፍ/ቅድሚያ ሊሰጥ ይችላል። (DEMO)"
passport,am,አካል ጉዳተኞች ለፓስፖርት ልዩ ድጋፍ አለ?,"አዎ፣ የአገልግሎት እርዳታ እና ቅድሚያ ሊሰጥ ይችላል። (DEMO)"
passport,am,በፓስፖርት አገልግሎት የሚጠቀሙት ቋንቋዎች ምን ናቸው?,"እንደ ቢሮው አቅም በአገር ዋና ቋንቋዎች አገልግሎት ሊሰጥ ይችላል። (DEMO)"
passport,am,ስደተኞች የአገር ፓስፖርት መጠየቅ ይችላሉ?,"እንደ ህግ ልዩ ሂደት ሊኖር ይችላል፤ ተገቢውን ቢሮ ይጠይቁ። (DEMO)"
passport,am,ዲፕሎማቲክ ፓስፖርት ምንድነው?,"ለመንግስት ኃላፊዎች እና ዲፕሎማቶች ለመደበኛ የመንግስት ሥራ ጉዞ የሚሰጥ ፓስፖርት ነው። (DEMO)"
